city,lat,lon,temp_mean,clouds_mean,wind_mean,rain_sum,weather_score
Aix-en-Provence,43.5298424,5.4474738,12.5875,50.825,2.1550000000000002,3.0,0.27599999999999936
Nîmes,43.8374249,4.3600687,12.666,58.075,2.97575,6.57,-3.1267250000000018
Marseille,43.2961743,5.3699525,14.74175,50.55,4.2170000000000005,13.0,-3.13335
Montpellier,43.6112422,3.8767337,13.619499999999999,60.825,3.23125,9.129999999999999,-4.079875000000002
Bordeaux,44.841225,-0.5800364,12.776,68.15,2.347,5.31,-4.2131000000000025
